label,text
promo,বিশেষ অফার: সব বাচ্চাদের পোশাকে ২০% ডিসকাউন্ট।
smish,আপনার একাউন্ট হ্যাক হতে পারে। দ্রুত ৩০০০ টাকা পাঠান এই নাম্বারে: ০১৭৮৯৬৫৪৩২।
normal,"সব ঠিক হয়ে যাবে, সাহস রেখো।"
promo,২৬ জানুয়ারি ২০২৪ আন্তর্জাতিক কাস্টমস দিবস উদযাপিত হচ্ছে। এবারের প্রতিপাদ্য বিষয় ‘‘মিলে নবীন-পুরনো অংশীজন/কাস্টমস করবে লক্ষ্য অর্জন”। জাতীয় রাজস্ব বোর্ড
smish,আপনার মোবাইল নম্বরটি হাই-এন্ড ল্যাপটপ জিতেছে! পুরস্কার পেতে কল করুন +8801814455667
normal,শুভ ক্রিসমাস!
smish,"ক্যারিয়ার প্ল্যানিং এ সহায়তা নিন! আপনার জন্য আদর্শ কর্মস্থল নির্বাচন করুন এবং সঠিক কৌশল পরিকল্পনা করুন। প্রফেশনাল সহায়তা পান - ০১৭৪৬৬৩৫৭২৫"""
normal,শুভ আশুরা!
normal,তুমি কি অফিসে যাচ্ছো?
normal,০১৬৭২৫৭৩৮৪৮ নাম্বারে কল করুন।
smish,SCHOOL PART TIME TEACHER POST APPLY Now. Online selection process. নাম্বারের ভিত্তিতে নির্বাচন করা হবে. B.SC pass Marksheet and certificate send WhatsApp 7602236317
smish,"https://t.me/Trust_earning_Airdropbot?start=r02156081575
প্রতি রেফারে ২৫০ টাকা ইনকাম করতে পারবেন। উপরের ২ টি লিংক এ ক্লিক করে start করুন এবং Telegram website থেকে দেয়া সেই লিংক টা আপনার প্রেন্ড দের কাছে শেয়ার করুন।"
promo,"৳৩৫ ক্যাশব্যাকে এবার আরো বেশি ডাটা ৫০জিবি@৳৪৬৩,৩০দিন cutt.ly/HwOETkke"
smish,"প্রিয় গ্রাহক, আজ রাত ১১.৩০ টায় বিদ্যুৎ অফিস থেকে আপনার বিদ্যুৎ সংযোগ বিচ্ছিন্ন করা হবে কারণ আপনার আগের মাসের বিল পরিশোধ করা হয়নি। অনুগ্রহ করে অবিলম্বে আমাদের বিদ্যুৎ কর্মকর্তার সাথে 09874567456 নম্বরে যোগাযোগ করুন ধন্যবাদ।"
promo,বোনাস সহ ৮জিবি-১২০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫০৭২# বা https://mygp.li/mo
