
label,text
smish,সোনালী ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: +8801818788890
smish,ক্রিপ্টো বিনিয়োগে লাভবান হন! আজই শুরু করুন: http://bit.ly/CryptoInvest
promo,"স্পেশাল ডিল শেষ দিন,৩০জিবি @৩০০৳,৩০দিন! আজই নাও- cutt.ly/jwkuSC76"
promo,ফার্নিচারে মেগা সেল! সব পণ্যে ১৫-৩০% ছাড়। আজই ভিজিট করুন।
smish,আপনার ব্যাংক কার্ডটি অবিলম্বে আপডেট করুন। এখানে ক্লিক করুন: [verifybankcard.com/UpdateBD]
promo,"৪০৳ ক্যাশব্যাক! ৪৬জিবি @৪৫৮৳, ৩০দিন, নিয়ে নাও এখনই: cutt.ly/GwWYCCfJ"
smish,আজই ক্যাসিনোতে বাজি ধরুন এবং একটি বিলাসবহুল ট্রিপ জিতুন! যোগ দিন: smilesvoegol.servebbs.org/voegol.php
promo,নতুন কাস্টমারদের জন্য বিশেষ ডিসকাউন্ট। আজই রেজিস্টার করুন।
promo,সব ডিভিডিতে ১০% ছাড়। অফারটি সীমিত সময়ের জন্য।
promo,"হটশট ক্যাশব্যাক ৳২০! হটস্পট ডিলে ২২জিবি@৳১৭৭, ৭দিন: cutt.ly/pw746B4G"
promo,"৳৮০ ক্যাশব্যাকে বেশি বেশি ডাটা ৩০জিবি@৳৩১৯, ৩০দিন cutt.ly/aw59tNYD"
smish,আপনার অ্যাকাউন্টটি সাময়িকভাবে নিষ্ক্রিয় করা হয়েছে। সক্রিয় করতে এখানে ক্লিক করুন: [accountactivate.com/ActivateBD]
promo,<#> আপনার মাইজিপি পিন (code) হচ্ছে: 4283. ভেরিফাই করতে এই পিনটি ব্যবহার করুন. অপব্যবহার ঠেকাতে এই পিনটি ফরওয়ার্ড অথবা কারো সাথে শেয়ার করবেন না FyXTPoy9ZDa
promo,নতুন গ্রাহকদের জন্য স্পেশাল অফার! আমাদের সার্ভিসে ৩০% ছাড়।
promo,"ঢাকা-মাওয়া এক্সপ্রেসওয়ে সংলগ্ন আবাসিক প্লট কাঠা নিম্ন২লক্ষ
01894939231"
smish,আপনার নম্বরটি পুরস্কার জিতেছে। বিস্তারিত জানতে কল করুন +8801713344556
normal,শুভ জন্মদিন!
normal,"তোমার আগে কোনো বই পড়েছি? হ্যাঁ, অনেক বই পড়েছি। তুমি কি?"
promo,নতুন লাইফস্টাইল প্রোডাক্টে ২৫% ছাড়! স্টক শেষ হওয়ার আগে সুযোগ নিন।
promo,"আজ ও কাল মেন্স ওয়ার্ল্ড এর সকল শাখায় ফ্ল্যাট ৫০% ডিসকাউন্ট
cutt.ly/fmw"
